lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.3,22.9,6.231,7.475,7.996,32.644,128.007,323.052,243.317,292.784,95.228,5.017,2.697,2.868,0.20,0.27,0.26,1.09,4.13,10.77,7.85,9.44,3.17,0.16,0.09,0.09
120.2,22.95,6.24,7.528,9.885,37.571,114.796,318.575,245.529,250.413,83.332,4.694,2.216,1.734,0.20,0.27,0.32,1.25,3.70,10.62,7.92,8.08,2.78,0.15,0.07,0.06
120.75,22.25,6.267,4.457,5.222,18.806,104.91,337.082,312.398,340.103,193.743,25.886,8.744,4.462,0.20,0.16,0.17,0.63,3.38,11.24,10.08,10.97,6.46,0.84,0.29,0.14
120.15,23,6.364,7.094,8.948,31.945,111.142,303.817,257.441,236.994,76.674,2.48,1.795,2.973,0.21,0.25,0.29,1.06,3.59,10.13,8.30,7.64,2.56,0.08,0.06,0.10
120.65,23,6.392,10.417,15.474,41.792,242.294,454.332,411.313,450.001,216.102,28.327,5.992,3.122,0.21,0.37,0.50,1.39,7.82,15.14,13.27,14.52,7.20,0.91,0.20,0.10
120.55,22.5,6.402,5.937,10.756,31.801,124.84,377.407,346.651,383.722,179.522,31.818,4.496,3.964,0.21,0.21,0.35,1.06,4.03,12.58,11.18,12.38,5.98,1.03,0.15,0.13
120.15,23.1,6.439,9.518,12.115,44.937,110.612,300.053,238.23,226.385,71.208,1.457,3.556,4.387,0.21,0.34,0.39,1.50,3.57,10.00,7.68,7.30,2.37,0.05,0.12,0.14
120.3,22.95,6.464,8.77,8.723,32.162,131.842,326.87,253.662,321.146,113.824,7.568,2.296,2.568,0.21,0.31,0.28,1.07,4.25,10.90,8.18,10.36,3.79,0.24,0.08,0.08
120.55,22.4,6.494,2.6,5.792,23.974,101.782,311.588,295.78,314.706,150.777,14.594,1.734,1.558,0.21,0.09,0.19,0.80,3.28,10.39,9.54,10.15,5.03,0.47,0.06,0.05
120.6,22.75,6.496,9.912,12.163,39.642,183.782,386.832,371.097,412.136,223.233,43.285,5.188,2.57,0.21,0.35,0.39,1.32,5.93,12.89,11.97,13.29,7.44,1.40,0.17,0.08
120.65,22.85,6.548,7.484,16.962,44.798,249.445,419.034,434.256,463.497,237.51,44.875,4.112,2.195,0.21,0.27,0.55,1.49,8.05,13.97,14.01,14.95,7.92,1.45,0.14,0.07
120.65,22.9,6.556,10.37,14.002,46.395,239.526,476.222,452.386,499.541,230.863,47.512,4.006,2.802,0.21,0.37,0.45,1.55,7.73,15.87,14.59,16.11,7.70,1.53,0.13,0.09
120.35,23,6.674,8.861,11.666,38.472,121.824,312.569,287.29,321.84,117.798,8.953,4.951,2.954,0.22,0.32,0.38,1.28,3.93,10.42,9.27,10.38,3.93,0.29,0.17,0.10
120.55,22.95,6.71,9.535,10.77,37.276,194.419,385.888,391,472.658,182.81,22.733,3.665,3.692,0.22,0.34,0.35,1.24,6.27,12.86,12.61,15.25,6.09,0.73,0.12,0.12
120.55,23,6.742,11.702,11.218,42.356,212.046,401.102,403.973,471.862,198.012,19.447,5.786,3.24,0.22,0.42,0.36,1.41,6.84,13.37,13.03,15.22,6.60,0.63,0.19,0.10
120.35,23.05,6.759,8.895,11.649,40.258,119.504,297.756,278.662,301.597,109.824,9.46,3.102,3.861,0.22,0.32,0.38,1.34,3.85,9.93,8.99,9.73,3.66,0.31,0.10,0.12
120.4,23,6.79,8.504,11.342,35.794,125.738,314.254,289.716,315.22,117.314,9.943,3.104,1.714,0.22,0.30,0.37,1.19,4.06,10.48,9.35,10.17,3.91,0.32,0.10,0.06
120.6,23,6.804,10.522,13.01,45.632,233.282,421.648,440.527,482.142,204.258,20.41,4.654,2.704,0.22,0.38,0.42,1.52,7.53,14.05,14.21,15.55,6.81,0.66,0.16,0.09
120.85,22.85,6.845,8.281,14.527,33.628,157.48,293.082,242.918,278.882,128.002,27.246,6.36,6.236,0.22,0.30,0.47,1.12,5.08,9.77,7.84,9.00,4.27,0.88,0.21,0.20
120.8,22.9,6.845,8.105,15.432,39.466,208.795,349.702,283.805,313.639,157.197,26.84,4.983,3.45,0.22,0.29,0.50,1.32,6.74,11.66,9.16,10.12,5.24,0.87,0.17,0.11
120.85,22.85,6.845,8.281,14.527,33.628,157.48,293.082,242.918,278.882,128.002,27.246,6.36,6.236,0.22,0.30,0.47,1.12,5.08,9.77,7.84,9.00,4.27,0.88,0.21,0.20
120.25,23,6.906,9.618,7.782,35.342,125.733,279.975,279.814,285.604,85.912,3.881,2.557,2.22,0.22,0.34,0.25,1.18,4.06,9.33,9.03,9.21,2.86,0.13,0.09,0.07
